========================================================================================================================================================================================================
Motion Planning Output - Robot Motor States and Attached Magnet Position
========================================================================================================================================================================================================

Motor Position Ranges:
  - θ1 (ω1 Motor): -360° to +360° (Front section rotation)
  - θ2 (ω2 Motor): -360° to +360° (Rear section rotation)
  - θ3 (ω3 Motor): -90° to +90° (Inter-section rotation)
  - s  (v Motor):  0mm to 8mm (Linear displacement)

State Code Format: ω1ω2ω3vm1m2
  - ω1,ω2,ω3,v: 0=Stop, 1=Forward/CW, 2=Reverse/CCW
  - m1,m2: 0=OFF(detached), 1=ON(attached)

Attached Magnet Position:
  - Shows the 3D coordinate (X, Y, Z) of the magnet that is attached (ON) to the cylinder inner wall
  - Coordinate system: X and Y are radial coordinates, Z is axial coordinate (0-1000mm)
  - Cylinder inner wall radius: 900mm
  - When both magnets are ON, both positions are shown

========================================================================================================================================================================================================

Step	State	ω1	ω2	ω3	v	M1	M2	Dur(s)	Time(s)	θ1(°)	θ2(°)	θ3(°)	s(mm)	Attached Magnet Position (X,Y,Z)	Description
9	002001	0	0	2	0	0	1	1.222	31.987	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
10	000011	0	0	0	0	1	1	0.500	32.487	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
11	000010	0	0	0	0	1	0	0.500	32.987	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
12	001010	0	0	1	0	1	0	1.222	34.209	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
13	001110	0	0	1	1	1	0	12.800	47.009	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
14	002010	0	0	2	0	1	0	1.222	48.230	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
15	000011	0	0	0	0	1	1	0.500	48.730	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
16	000001	0	0	0	0	0	1	0.500	49.230	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
17	001001	0	0	1	0	0	1	1.222	50.452	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
18	002201	0	0	2	2	0	1	12.800	63.252	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
19	002001	0	0	2	0	0	1	1.222	64.474	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
20	000011	0	0	0	0	1	1	0.500	64.974	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
21	000010	0	0	0	0	1	0	0.500	65.474	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
22	001010	0	0	1	0	1	0	1.222	66.696	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
23	001110	0	0	1	1	1	0	12.800	79.496	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
24	002010	0	0	2	0	1	0	1.222	80.717	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
25	000011	0	0	0	0	1	1	0.500	81.217	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
26	000001	0	0	0	0	0	1	0.500	81.717	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
27	001001	0	0	1	0	0	1	1.222	82.939	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
28	002201	0	0	2	2	0	1	12.800	95.739	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
29	002001	0	0	2	0	0	1	1.222	96.961	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
30	000011	0	0	0	0	1	1	0.500	97.461	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
31	000010	0	0	0	0	1	0	0.500	97.961	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
32	001010	0	0	1	0	1	0	1.222	99.182	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
33	001110	0	0	1	1	1	0	1.600	100.782	0.0	0.0	80.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
34	002010	0	0	2	0	1	0	1.222	102.004	0.0	0.0	45.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
35	000011	0	0	0	0	1	1	0.500	102.504	0.0	0.0	0.0	0.80	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
36	000001	0	0	0	0	0	1	0.500	103.004	0.0	0.0	0.0	0.80	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
37	001001	0	0	1	0	0	1	1.222	104.226	0.0	0.0	35.0	0.80	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
38	002201	0	0	2	2	0	1	1.600	105.826	0.0	0.0	-10.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
39	002001	0	0	2	0	0	1	1.222	107.048	0.0	0.0	-45.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
40	000011	0	0	0	0	1	1	0.500	107.548	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
41	000010	0	0	0	0	1	0	0.500	108.048	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
42	001010	0	0	1	0	1	0	1.222	109.269	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
43	001110	0	0	1	1	1	0	12.800	122.069	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
44	002010	0	0	2	0	1	0	1.222	123.291	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
45	000011	0	0	0	0	1	1	0.500	123.791	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
46	000001	0	0	0	0	0	1	0.500	124.291	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
47	001001	0	0	1	0	0	1	1.222	125.513	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
48	002201	0	0	2	2	0	1	12.800	138.313	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
49	002001	0	0	2	0	0	1	1.222	139.535	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
50	000011	0	0	0	0	1	1	0.500	140.035	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
51	000010	0	0	0	0	1	0	0.500	140.535	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
52	001010	0	0	1	0	1	0	1.222	141.756	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
53	001110	0	0	1	1	1	0	12.800	154.556	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
54	002010	0	0	2	0	1	0	1.222	155.778	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
55	000011	0	0	0	0	1	1	0.500	156.278	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
56	000001	0	0	0	0	0	1	0.500	156.778	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
57	001001	0	0	1	0	0	1	1.222	158.000	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
58	002201	0	0	2	2	0	1	12.800	170.800	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
59	002001	0	0	2	0	0	1	1.222	172.022	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
60	000011	0	0	0	0	1	1	0.500	172.522	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
61	000010	0	0	0	0	1	0	0.500	173.022	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
62	001010	0	0	1	0	1	0	1.222	174.243	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
63	001110	0	0	1	1	1	0	12.800	187.043	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
64	002010	0	0	2	0	1	0	1.222	188.265	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
65	000011	0	0	0	0	1	1	0.500	188.765	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
66	000001	0	0	0	0	0	1	0.500	189.265	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
67	001001	0	0	1	0	0	1	1.222	190.487	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
68	002201	0	0	2	2	0	1	12.800	203.287	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
69	002001	0	0	2	0	0	1	1.222	204.508	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
70	000011	0	0	0	0	1	1	0.500	205.008	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
71	000010	0	0	0	0	1	0	0.500	205.508	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
72	001010	0	0	1	0	1	0	1.222	206.730	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
73	001110	0	0	1	1	1	0	1.600	208.330	0.0	0.0	80.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
74	002010	0	0	2	0	1	0	1.222	209.552	0.0	0.0	45.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
75	000011	0	0	0	0	1	1	0.500	210.052	0.0	0.0	0.0	0.80	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
76	000001	0	0	0	0	0	1	0.500	210.552	0.0	0.0	0.0	0.80	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
77	001001	0	0	1	0	0	1	1.222	211.774	0.0	0.0	35.0	0.80	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
78	002201	0	0	2	2	0	1	1.600	213.374	0.0	0.0	-10.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
79	002001	0	0	2	0	0	1	1.222	214.595	0.0	0.0	-45.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
80	000011	0	0	0	0	1	1	0.500	215.095	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
81	000010	0	0	0	0	1	0	0.500	215.595	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
82	001010	0	0	1	0	1	0	1.222	216.817	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
83	001110	0	0	1	1	1	0	12.800	229.617	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
84	002010	0	0	2	0	1	0	1.222	230.839	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
85	000011	0	0	0	0	1	1	0.500	231.339	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
86	000001	0	0	0	0	0	1	0.500	231.839	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
87	001001	0	0	1	0	0	1	1.222	233.061	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
88	002201	0	0	2	2	0	1	12.800	245.861	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
89	002001	0	0	2	0	0	1	1.222	247.082	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
90	000011	0	0	0	0	1	1	0.500	247.582	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
91	000010	0	0	0	0	1	0	0.500	248.082	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
92	001010	0	0	1	0	1	0	1.222	249.304	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
93	001110	0	0	1	1	1	0	12.800	262.104	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
94	002010	0	0	2	0	1	0	1.222	263.326	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
95	000011	0	0	0	0	1	1	0.500	263.826	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
96	000001	0	0	0	0	0	1	0.500	264.326	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
97	001001	0	0	1	0	0	1	1.222	265.547	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
98	002201	0	0	2	2	0	1	12.800	278.347	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
99	002001	0	0	2	0	0	1	1.222	279.569	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
100	000011	0	0	0	0	1	1	0.500	280.069	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
101	000010	0	0	0	0	1	0	0.500	280.569	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
102	001010	0	0	1	0	1	0	1.222	281.791	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
103	001110	0	0	1	1	1	0	12.800	294.591	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
104	002010	0	0	2	0	1	0	1.222	295.813	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
105	000011	0	0	0	0	1	1	0.500	296.313	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
106	000001	0	0	0	0	0	1	0.500	296.813	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
107	001001	0	0	1	0	0	1	1.222	298.034	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
108	002201	0	0	2	2	0	1	12.800	310.834	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
109	002001	0	0	2	0	0	1	1.222	312.056	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
110	000011	0	0	0	0	1	1	0.500	312.556	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
111	000010	0	0	0	0	1	0	0.500	313.056	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
112	001010	0	0	1	0	1	0	1.222	314.278	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
113	001110	0	0	1	1	1	0	1.600	315.878	0.0	0.0	80.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
114	002010	0	0	2	0	1	0	1.222	317.100	0.0	0.0	45.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
115	000011	0	0	0	0	1	1	0.500	317.600	0.0	0.0	0.0	0.80	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
116	000001	0	0	0	0	0	1	0.500	318.100	0.0	0.0	0.0	0.80	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
117	001001	0	0	1	0	0	1	1.222	319.321	0.0	0.0	35.0	0.80	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
118	002201	0	0	2	2	0	1	1.600	320.921	0.0	0.0	-10.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
119	002001	0	0	2	0	0	1	1.222	322.143	0.0	0.0	-45.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
120	000011	0	0	0	0	1	1	0.500	322.643	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
121	000010	0	0	0	0	1	0	0.500	323.143	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
122	001010	0	0	1	0	1	0	1.222	324.365	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
123	001110	0	0	1	1	1	0	12.800	337.165	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
124	002010	0	0	2	0	1	0	1.222	338.387	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
125	000011	0	0	0	0	1	1	0.500	338.887	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
126	000001	0	0	0	0	0	1	0.500	339.387	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
127	001001	0	0	1	0	0	1	1.222	340.608	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
128	002201	0	0	2	2	0	1	12.800	353.408	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
129	002001	0	0	2	0	0	1	1.222	354.630	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
130	000011	0	0	0	0	1	1	0.500	355.130	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
131	000010	0	0	0	0	1	0	0.500	355.630	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
132	001010	0	0	1	0	1	0	1.222	356.852	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
133	001110	0	0	1	1	1	0	12.800	369.652	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
134	002010	0	0	2	0	1	0	1.222	370.873	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
135	000011	0	0	0	0	1	1	0.500	371.373	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
136	000001	0	0	0	0	0	1	0.500	371.873	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
137	001001	0	0	1	0	0	1	1.222	373.095	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
138	002201	0	0	2	2	0	1	12.800	385.895	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
139	002001	0	0	2	0	0	1	1.222	387.117	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
140	000011	0	0	0	0	1	1	0.500	387.617	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
141	000010	0	0	0	0	1	0	0.500	388.117	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
142	001010	0	0	1	0	1	0	1.222	389.339	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
143	001110	0	0	1	1	1	0	12.800	402.139	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
144	002010	0	0	2	0	1	0	1.222	403.360	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
145	000011	0	0	0	0	1	1	0.500	403.860	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
146	000001	0	0	0	0	0	1	0.500	404.360	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
147	001001	0	0	1	0	0	1	1.222	405.582	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
148	002201	0	0	2	2	0	1	12.800	418.382	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
149	002001	0	0	2	0	0	1	1.222	419.604	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, M1=OFF, M2=ON
150	000011	0	0	0	0	1	1	0.500	420.104	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
151	000010	0	0	0	0	1	0	0.500	420.604	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
152	001010	0	0	1	0	1	0	1.222	421.826	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
153	001110	0	0	1	1	1	0	1.600	423.426	0.0	0.0	80.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
154	002010	0	0	2	0	1	0	1.222	424.647	0.0	0.0	45.8	0.80	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
155	000011	0	0	0	0	1	1	0.500	425.147	0.0	0.0	0.0	0.80	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
156	000001	0	0	0	0	0	1	0.500	425.647	0.0	0.0	0.0	0.80	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
157	001001	0	0	1	0	0	1	1.222	426.869	0.0	0.0	35.0	0.80	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
158	002201	0	0	2	2	0	1	1.600	428.469	0.0	0.0	-10.8	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
