========================================================================================================================================================================================================
Motion Planning Output - Robot Motor States and Attached Magnet Position
========================================================================================================================================================================================================

Motor Position Ranges:
  - θ1 (ω1 Motor): -360° to +360° (Front section rotation)
  - θ2 (ω2 Motor): -360° to +360° (Rear section rotation)
  - θ3 (ω3 Motor): -90° to +90° (Inter-section rotation)
  - s  (v Motor):  0mm to 8mm (Linear displacement)

State Code Format: ω1ω2ω3vm1m2
  - ω1,ω2,ω3,v: 0=Stop, 1=Forward/CW, 2=Reverse/CCW
  - m1,m2: 0=OFF(detached), 1=ON(attached)

Attached Magnet Position:
  - Shows the 3D coordinate (X, Y, Z) of the magnet that is attached (ON) to the cylinder inner wall
  - Coordinate system: X and Y are radial coordinates, Z is axial coordinate (0-1000mm)
  - Cylinder inner wall radius: 900mm
  - When both magnets are ON, both positions are shown

========================================================================================================================================================================================================

Step	State	ω1	ω2	ω3	v	M1	M2	Dur(s)	Time(s)	θ1(°)	θ2(°)	θ3(°)	s(mm)	Attached Magnet Position (X,Y,Z)	Description
10	000011	0	0	0	0	1	1	0.500	7.720	11.9	11.9	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
11	000010	0	0	0	0	1	0	0.500	8.220	11.9	11.9	0.0	0.00	M1:(-0.0,-900.0,40.0)	M1=ON, M2=OFF
12	001010	0	0	1	0	1	0	1.222	9.442	11.9	11.9	35.0	0.00	M1:(-0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
13	101010	1	0	1	0	1	0	0.417	9.859	23.9	11.9	46.9	0.00	M1:(-0.0,-900.0,40.0)	ω1=CW, ω3=CW, M1=ON, M2=OFF
14	002010	0	0	2	0	1	0	1.222	11.080	23.9	11.9	11.9	0.00	M1:(-0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
15	000011	0	0	0	0	1	1	0.500	11.580	23.9	11.9	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
16	000001	0	0	0	0	0	1	0.500	12.080	23.9	11.9	0.0	0.00	M2:(0.0,900.0,40.0)	M1=OFF, M2=ON
17	001001	0	0	1	0	0	1	1.222	13.302	23.9	11.9	35.0	0.00	M2:(0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
18	011001	0	1	1	0	0	1	0.417	13.719	23.9	23.9	46.9	0.00	M2:(0.0,900.0,40.0)	ω2=CW, ω3=CW, M1=OFF, M2=ON
19	002001	0	0	2	0	0	1	1.222	14.941	23.9	23.9	11.9	0.00	M2:(0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
20	000011	0	0	0	0	1	1	0.500	15.441	23.9	23.9	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
21	000010	0	0	0	0	1	0	0.500	15.941	23.9	23.9	0.0	0.00	M1:(-0.0,-900.0,40.0)	M1=ON, M2=OFF
22	001010	0	0	1	0	1	0	1.222	17.162	23.9	23.9	35.0	0.00	M1:(-0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
23	101010	1	0	1	0	1	0	0.417	17.579	35.8	23.9	46.9	0.00	M1:(-0.0,-900.0,40.0)	ω1=CW, ω3=CW, M1=ON, M2=OFF
24	002010	0	0	2	0	1	0	1.222	18.801	35.8	23.9	11.9	0.00	M1:(-0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
25	000011	0	0	0	0	1	1	0.500	19.301	35.8	23.9	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
26	000001	0	0	0	0	0	1	0.500	19.801	35.8	23.9	0.0	0.00	M2:(0.0,900.0,40.0)	M1=OFF, M2=ON
27	001001	0	0	1	0	0	1	1.222	21.022	35.8	23.9	35.0	0.00	M2:(0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
28	011001	0	1	1	0	0	1	0.417	21.439	35.8	35.8	46.9	0.00	M2:(0.0,900.0,40.0)	ω2=CW, ω3=CW, M1=OFF, M2=ON
29	002001	0	0	2	0	0	1	1.222	22.661	35.8	35.8	11.9	0.00	M2:(0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
30	000011	0	0	0	0	1	1	0.500	23.161	35.8	35.8	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
31	000010	0	0	0	0	1	0	0.500	23.661	35.8	35.8	0.0	0.00	M1:(-0.0,-900.0,40.0)	M1=ON, M2=OFF
32	001010	0	0	1	0	1	0	1.222	24.882	35.8	35.8	35.0	0.00	M1:(-0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
33	101010	1	0	1	0	1	0	0.417	25.299	47.7	35.8	46.9	0.00	M1:(-0.0,-900.0,40.0)	ω1=CW, ω3=CW, M1=ON, M2=OFF
34	002010	0	0	2	0	1	0	1.222	26.521	47.7	35.8	11.9	0.00	M1:(-0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
35	000011	0	0	0	0	1	1	0.500	27.021	47.7	35.8	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
36	000001	0	0	0	0	0	1	0.500	27.521	47.7	35.8	0.0	0.00	M2:(0.0,900.0,40.0)	M1=OFF, M2=ON
37	001001	0	0	1	0	0	1	1.222	28.743	47.7	35.8	35.0	0.00	M2:(0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
38	011001	0	1	1	0	0	1	0.417	29.159	47.7	47.7	46.9	0.00	M2:(0.0,900.0,40.0)	ω2=CW, ω3=CW, M1=OFF, M2=ON
39	002001	0	0	2	0	0	1	1.222	30.381	47.7	47.7	11.9	0.00	M2:(0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
40	000011	0	0	0	0	1	1	0.500	30.881	47.7	47.7	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(0.0,900.0,40.0)	M1=ON, M2=ON
41	000010	0	0	0	0	1	0	0.500	31.381	47.7	47.7	0.0	0.00	M1:(-0.0,-900.0,40.0)	M1=ON, M2=OFF
42	001010	0	0	1	0	1	0	1.222	32.603	47.7	47.7	35.0	0.00	M1:(-0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
43	101010	1	0	1	0	1	0	0.417	33.019	59.7	47.7	46.9	0.00	M1:(-0.0,-900.0,40.0)	ω1=CW, ω3=CW, M1=ON, M2=OFF
44	002010	0	0	2	0	1	0	1.222	34.241	59.7	47.7	11.9	0.00	M1:(-0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
45	000011	0	0	0	0	1	1	0.500	34.741	59.7	47.7	0.0	0.00	M1:(-0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
46	000001	0	0	0	0	0	1	0.500	35.241	59.7	47.7	0.0	0.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
47	001001	0	0	1	0	0	1	1.222	36.463	59.7	47.7	35.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
48	011001	0	1	1	0	0	1	0.417	36.880	59.7	59.7	46.9	0.00	M2:(-0.0,900.0,40.0)	ω2=CW, ω3=CW, M1=OFF, M2=ON
49	002001	0	0	2	0	0	1	1.222	38.101	59.7	59.7	11.9	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
50	000011	0	0	0	0	1	1	0.500	38.601	59.7	59.7	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
51	000010	0	0	0	0	1	0	0.500	39.101	59.7	59.7	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
52	001010	0	0	1	0	1	0	1.222	40.323	59.7	59.7	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
53	101010	1	0	1	0	1	0	0.417	40.740	71.6	59.7	46.9	0.00	M1:(0.0,-900.0,40.0)	ω1=CW, ω3=CW, M1=ON, M2=OFF
54	002010	0	0	2	0	1	0	1.222	41.961	71.6	59.7	11.9	0.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
55	000011	0	0	0	0	1	1	0.500	42.461	71.6	59.7	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
56	000001	0	0	0	0	0	1	0.500	42.961	71.6	59.7	0.0	0.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
57	001001	0	0	1	0	0	1	1.222	44.183	71.6	59.7	35.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
58	011001	0	1	1	0	0	1	0.417	44.600	71.6	71.6	46.9	0.00	M2:(-0.0,900.0,40.0)	ω2=CW, ω3=CW, M1=OFF, M2=ON
59	002001	0	0	2	0	0	1	1.222	45.822	71.6	71.6	11.9	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
60	000011	0	0	0	0	1	1	0.500	46.322	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
61	000010	0	0	0	0	1	0	0.500	46.822	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
62	001010	0	0	1	0	1	0	1.222	48.043	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
63	001110	0	0	1	1	1	0	4.000	52.043	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
64	002010	0	0	2	0	1	0	1.222	53.265	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
65	000011	0	0	0	0	1	1	0.500	53.765	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
66	000001	0	0	0	0	0	1	0.500	54.265	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
67	001001	0	0	1	0	0	1	1.222	55.487	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
68	002201	0	0	2	2	0	1	4.000	59.487	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
69	002001	0	0	2	0	0	1	1.222	60.708	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
70	000011	0	0	0	0	1	1	0.500	61.208	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
71	000010	0	0	0	0	1	0	0.500	61.708	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
72	001010	0	0	1	0	1	0	1.222	62.930	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
73	001110	0	0	1	1	1	0	4.000	66.930	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
74	002010	0	0	2	0	1	0	1.222	68.152	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
75	000011	0	0	0	0	1	1	0.500	68.652	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
76	000001	0	0	0	0	0	1	0.500	69.152	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
77	001001	0	0	1	0	0	1	1.222	70.374	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
78	002201	0	0	2	2	0	1	4.000	74.374	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
79	002001	0	0	2	0	0	1	1.222	75.595	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
80	000011	0	0	0	0	1	1	0.500	76.095	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
81	000010	0	0	0	0	1	0	0.500	76.595	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
82	001010	0	0	1	0	1	0	1.222	77.817	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
83	001110	0	0	1	1	1	0	4.000	81.817	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
84	002010	0	0	2	0	1	0	1.222	83.039	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
85	000011	0	0	0	0	1	1	0.500	83.539	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
86	000001	0	0	0	0	0	1	0.500	84.039	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
87	001001	0	0	1	0	0	1	1.222	85.261	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
88	002201	0	0	2	2	0	1	4.000	89.261	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
89	002001	0	0	2	0	0	1	1.222	90.482	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
90	000011	0	0	0	0	1	1	0.500	90.982	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
91	000010	0	0	0	0	1	0	0.500	91.482	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
92	001010	0	0	1	0	1	0	1.222	92.704	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
93	001110	0	0	1	1	1	0	4.000	96.704	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
94	002010	0	0	2	0	1	0	1.222	97.926	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
95	000011	0	0	0	0	1	1	0.500	98.426	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
96	000001	0	0	0	0	0	1	0.500	98.926	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
97	001001	0	0	1	0	0	1	1.222	100.147	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
98	002201	0	0	2	2	0	1	4.000	104.147	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
99	002001	0	0	2	0	0	1	1.222	105.369	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
100	000011	0	0	0	0	1	1	0.500	105.869	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
101	000010	0	0	0	0	1	0	0.500	106.369	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
102	001010	0	0	1	0	1	0	1.222	107.591	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
103	001110	0	0	1	1	1	0	4.000	111.591	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
104	002010	0	0	2	0	1	0	1.222	112.813	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
105	000011	0	0	0	0	1	1	0.500	113.313	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
106	000001	0	0	0	0	0	1	0.500	113.813	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
107	001001	0	0	1	0	0	1	1.222	115.034	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
108	002201	0	0	2	2	0	1	4.000	119.034	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
109	002001	0	0	2	0	0	1	1.222	120.256	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
110	000011	0	0	0	0	1	1	0.500	120.756	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
111	000010	0	0	0	0	1	0	0.500	121.256	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
112	001010	0	0	1	0	1	0	1.222	122.478	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
113	001110	0	0	1	1	1	0	4.000	126.478	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
114	002010	0	0	2	0	1	0	1.222	127.700	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
115	000011	0	0	0	0	1	1	0.500	128.200	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
116	000001	0	0	0	0	0	1	0.500	128.700	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
117	001001	0	0	1	0	0	1	1.222	129.921	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
118	002201	0	0	2	2	0	1	4.000	133.921	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
119	002001	0	0	2	0	0	1	1.222	135.143	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
120	000011	0	0	0	0	1	1	0.500	135.643	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
121	000010	0	0	0	0	1	0	0.500	136.143	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
122	001010	0	0	1	0	1	0	1.222	137.365	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
123	001110	0	0	1	1	1	0	4.000	141.365	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
124	002010	0	0	2	0	1	0	1.222	142.587	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
125	000011	0	0	0	0	1	1	0.500	143.087	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
126	000001	0	0	0	0	0	1	0.500	143.587	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
127	001001	0	0	1	0	0	1	1.222	144.808	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
128	002201	0	0	2	2	0	1	4.000	148.808	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
129	002001	0	0	2	0	0	1	1.222	150.030	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
130	000011	0	0	0	0	1	1	0.500	150.530	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
131	000010	0	0	0	0	1	0	0.500	151.030	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
132	001010	0	0	1	0	1	0	1.222	152.252	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
133	001110	0	0	1	1	1	0	4.000	156.252	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
134	002010	0	0	2	0	1	0	1.222	157.473	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
135	000011	0	0	0	0	1	1	0.500	157.973	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
136	000001	0	0	0	0	0	1	0.500	158.473	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
137	001001	0	0	1	0	0	1	1.222	159.695	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
138	002201	0	0	2	2	0	1	4.000	163.695	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
139	002001	0	0	2	0	0	1	1.222	164.917	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
140	000011	0	0	0	0	1	1	0.500	165.417	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
141	000010	0	0	0	0	1	0	0.500	165.917	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
142	001010	0	0	1	0	1	0	1.222	167.139	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
143	001110	0	0	1	1	1	0	4.000	171.139	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
144	002010	0	0	2	0	1	0	1.222	172.360	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
145	000011	0	0	0	0	1	1	0.500	172.860	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
146	000001	0	0	0	0	0	1	0.500	173.360	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
147	001001	0	0	1	0	0	1	1.222	174.582	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
148	002201	0	0	2	2	0	1	4.000	178.582	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
149	002001	0	0	2	0	0	1	1.222	179.804	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, M1=OFF, M2=ON
150	000011	0	0	0	0	1	1	0.500	180.304	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
151	000010	0	0	0	0	1	0	0.500	180.804	71.6	71.6	0.0	0.00	M1:(0.0,-900.0,40.0)	M1=ON, M2=OFF
152	001010	0	0	1	0	1	0	1.222	182.026	71.6	71.6	35.0	0.00	M1:(0.0,-900.0,40.0)	ω3=CW, M1=ON, M2=OFF
153	001110	0	0	1	1	1	0	4.000	186.026	71.6	71.6	90.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
154	002010	0	0	2	0	1	0	1.222	187.247	71.6	71.6	55.0	2.00	M1:(0.0,-900.0,40.0)	ω3=CCW, M1=ON, M2=OFF
155	000011	0	0	0	0	1	1	0.500	187.747	71.6	71.6	0.0	2.00	M1:(0.0,-900.0,40.0); M2:(-0.0,900.0,40.0)	M1=ON, M2=ON
156	000001	0	0	0	0	0	1	0.500	188.247	71.6	71.6	0.0	2.00	M2:(-0.0,900.0,40.0)	M1=OFF, M2=ON
157	001001	0	0	1	0	0	1	1.222	189.469	71.6	71.6	35.0	2.00	M2:(-0.0,900.0,40.0)	ω3=CW, M1=OFF, M2=ON
158	002201	0	0	2	2	0	1	4.000	193.469	71.6	71.6	0.0	0.00	M2:(-0.0,900.0,40.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
